datasetName,uid,filesize,publish,export_filename,error_count,Created,Updated,Deleted,time_started,time_finished,current_row_count,threadID
DMV_LENSCUSTOMERS,tt84-bydt,2772069,TRUE,C:/sterling/DMV_LENSCUSTOMERS_20210129_R.csv,0,14852,0,0,2021-01-30T03:01:00.717639,2021-01-30T03:01:06.940982,14847,6452
DOS_AMC,7ttn-4nwr,23103,TRUE,C:/sterling/DOS_AMC_20210130_R.csv,0,158,0,0,2021-01-30T03:45:21.155853,2021-01-30T03:45:25.456640,158,472
NYSERDA_UERCOUNTYMONTHLY,47km-hhvs,13276432,TRUE,C:/sterling/NYSERDA_UERCOUNTYMONTHLY_20210129_R.csv,0,109925,0,0,2021-01-30T04:01:54.606538,2021-01-30T04:02:03.039703,75632,4124
NYSERDA_UERZIPMONTHLY,tzb9-c2c6,97023106,TRUE,C:/sterling/NYSERDA_UERZIPMONTHLY_20210129_R.csv,0,743398,0,0,2021-01-30T04:02:15.064851,2021-01-30T04:02:43.827827,640000,4988
NYSERDA_UERCOMMUNITYMONTHLY,m3xm-q3dw,236398618,TRUE,C:/sterling/NYSERDA_UERCOMMUNITYMONTHLY_20210129_R.csv,0,1549043,0,0,2021-01-30T04:01:49.017179,2021-01-30T04:02:28.569472,1440000,8156
DEC_CURRENTPESTICIDEBUSINESSES,h8u2-6ejg,1027617,TRUE,C:/sterling/DEC_CURRENTPESTICIDEBUSINESSES_20210130_R.csv,0,7552,0,0,2021-01-30T05:09:25.597541,2021-01-30T05:09:29.958610,7546,2864
DEC_PESTICIDEAPPLICATORS,c7db-kwpj,4315768,TRUE,C:/sterling/DEC_PESTICIDEAPPLICATORS_20210130_R.csv,0,31731,0,0,2021-01-30T05:09:24.422463,2021-01-30T05:09:29.598798,31728,4944
GAMING_WINNINGNUMTAKE5,dg63-4siq,61,TRUE,C:/sterling/GAMING_WINNINGNUMTAKE5_20210129_A.CSV,0,1,0,0,2021-01-30T05:30:28.577876,2021-01-30T05:30:33.940489,8686,7784
GAMING_WINNINGNUMNUMSWIN4,hsys-3def,283,TRUE,C:/sterling/GAMING_WINNINGNUMNUMSWIN4_20210129_A.CSV,0,1,0,0,2021-01-30T05:30:28.813891,2021-01-30T05:30:35.017780,14659,4248
GAMING_WINNINGNUMPICK10,bycu-cw7c,97,TRUE,C:/sterling/GAMING_WINNINGNUMPICK10_20210129_A.CSV,0,1,0,0,2021-01-30T05:30:33.980222,2021-01-30T05:30:37.906495,12396,6836
GAMING_WINNINGNUMQUICKDRAW,7sqk-ycpk,30942,TRUE,C:/sterling/GAMING_WINNINGNUMQUICKDRAW_20210129_A.CSV,0,351,0,0,2021-01-30T05:30:34.639266,2021-01-30T05:30:48.413545,1031005,4420
